,property_id,location_id,page_url,property_type,price,price_in_lac,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
2,386513,764,https://www.zameen.com/Property/islamabad_g_15_house_is_available_for_sale-386513-764-1.html,House,16500000,165,G-15,Islamabad,Islamabad Capital,33.631486,72.926559,6,For Sale,5,7/17/2019,,,2178.008
3,656161,340,https://www.zameen.com/Property/islamabad_bani_gala_a_rare_minimalist_concept_in_a_quiet_location-656161-340-1.html,House,43500000,435,Bani Gala,Islamabad,Islamabad Capital,33.70757294,73.15119934,4,For Sale,4,4/5/2019,,,10890
4,841645,3226,https://www.zameen.com/Property/dha_valley_dha_homes_islamabad_dha_valley_8_marla_home_for_sale-841645-3226-1.html,House,7000000,70,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/10/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008
5,850762,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_house_is_available_for_sale_in_ghauri_town_phase_1-850762-3390-1.html,House,34500000,345,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,8,For Sale,8,4/5/2019,,,87120
6,937975,445,https://www.zameen.com/Property/islamabad_korang_town_1_kanal_double_storey_corner_house__for_sale-937975-445-1.html,House,27000000,270,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,8,For Sale,8,1/4/2019,,,5445
8,1402466,376,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_one_kanal_with_basement_house_for_sale-1402466-376-1.html,House,50000000,500,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,10/19/2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445
16,1947817,3075,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_fantastic_location_brand_new_3_bed_defence_villa_for_sale-1947817-3075-1.html,House,19000000,190,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,6/20/2019,Infinity Properties,Ali,2722.51
17,2230469,9057,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b1_dha_phase_1__sector_b1_two_kanal_house_for_sale-2230469-9057-1.html,House,80000000,800,DHA Defence,Islamabad,Islamabad Capital,33.541728,73.094103,7,For Sale,7,7/16/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10890
18,2234957,3116,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_block_a_house_for_sale_in_mpchs__multi_gardens_b17_islamabad-2234957-3116-1.html,House,26900000,269,B-17,Islamabad,Islamabad Capital,33.694495,72.826653,6,For Sale,6,2/4/2019,,,5445
20,2642166,3331,https://www.zameen.com/Property/g_11_g_11_2_40x80_house_is_available_for_sale-2642166-3331-1.html,House,55000000,550,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,7,For Sale,6,7/17/2019,,,3811.514
21,2642249,156,https://www.zameen.com/Property/islamabad_bhara_kahu_double_storey_house_having_two_portions-2642249-156-1.html,House,4500000,45,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2/4/2019,,,1361.255
24,2771097,8257,https://www.zameen.com/Property/islamabad_garden_town_house_for_sale_in_garden_town_islamabad-2771097-8257-1.html,House,4500000,45,Garden Town,Islamabad,Islamabad Capital,33.636132,73.113921,4,For Sale,4,1/5/2019,,,12795.797
25,2842741,3460,https://www.zameen.com/Property/islamabad_koral_town_outstanding_4_marla_double_storey_house_for_sale_in_koral_chowk_near_to_gulberg_islamabad-2842741-3460-1.html,House,6800000,68,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,7/17/2019,,,1089.004
26,2873584,3491,https://www.zameen.com/Property/soan_garden_soan_garden_block_a_house_for_sale_in_soan_garden__block_a-2873584-3491-1.html,House,20000000,200,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,6/29/2019,,,3267.012
28,3098002,3299,https://www.zameen.com/Property/f_6_f_6_1_brand_new_house_for_sale-3098002-3299-1.html,House,100000000,1000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,1/5/2019,Property Syendicate,Rizwan Shafqat,48460.678
31,3285142,3307,https://www.zameen.com/Property/f_7_f_7_1_duplex_pair_house_for_sale-3285142-3307-1.html,House,220000000,2200,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,1/5/2019,Property Syendicate,Rizwan Shafqat,114345
32,3310804,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_house_for_sale-3310804-3394-1.html,House,4500000,45,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,11/6/2018,,,1361.255
33,3371338,3436,https://www.zameen.com/Property/i_16_i_16_2_8_marla_house_for_sale-3371338-3436-1.html,House,12500000,125,I-16,Islamabad,Islamabad Capital,33.594496,72.926595,5,For Sale,6,7/4/2019,,,2178.008
34,3626467,343,https://www.zameen.com/Property/islamabad_e_7_extraordinary_location_close_to_faisal_mosque_1244_sq_yd_house-3626467-343-1.html,House,230000000,2300,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,4,For Sale,4,6/12/2019,Zorje Pvt Ltd,Obaid Abbasi,136125
221,3719655,8370,https://www.zameen.com/Property/islamabad_emaar_canyon_views_brand_new_luxorious_villa_for_sale-3719655-8370-1.html,House,38800000,388,Emaar Canyon Views,Islamabad,Islamabad Capital,33.518929,73.184692,4,For Sale,5,7/4/2019,,,81675
224,4015520,3337,https://www.zameen.com/Property/g_13_g_13_1_house_in_immaculate_condition_for_sale-4015520-3337-1.html,House,46500000,465,G-13,Islamabad,Islamabad Capital,33.645957,72.962472,9,For Sale,9,4/5/2019,,,29675.359
226,4227904,335,https://www.zameen.com/Property/islamabad_f_17_double_storey_house_is_available_for_sale-4227904-335-1.html,House,14000000,140,F-17,Islamabad,Islamabad Capital,33.631987,72.880297,6,For Sale,4,6/27/2019,Al Karam Property,Mian Muhammad Hafeez,1905.757
